"Season","TeamName","FG2Pct","RankFG2Pct","FG3Pct","RankFG3Pct","FTPct","RankFTPct","BlockPct","RankBlockPct","OppFG2Pct","RankOppFG2Pct","OppFG3Pct","RankOppFG3Pct","OppFTPct","RankOppFTPct","OppBlockPct","RankOppBlockPct","FG3Rate","RankFG3Rate","OppFG3Rate","RankOppFG3Rate","ARate","RankARate","OppARate","RankOppARate","StlRate","RankStlRate","OppStlRate","RankOppStlRate","DFP"
2017,"Abilene Christian",50.7009345794393,112,37.1069182389937,75,64.2241379310345,336,8.09859154929577,216,52.112676056338,276,36.1224489795918,238,66.7226890756303,18,9.22897196261682,182,35.7839459864966,191,36.5126676602086,186,55.6464811783961,96,54.7504025764895,248,0.101301727194449,58,0.0874089188934957,178,9.38329352042973
2017,"Air Force",46.8895078922934,276,36.283185840708,110,71.6463414634146,127,5.95744680851064,322,54.3617021276596,332,36.5942028985507,268,71.57712305026,244,10.0278551532033,244,38.6324786324786,119,46.8325791855204,350,59.7869507323569,27,60.3194103194103,328,0.0846110722603987,187,0.0901593392938674,223,-8.70087306085375
2017,"Akron",55.0098231827112,16,36.7816091954023,91,68.070652173913,255,8.32708177044261,205,48.9872468117029,156,36.7713004484305,273,70.5614567526555,183,6.97445972495088,20,48.4556962025316,7,33.4165834165834,69,54.4956140350877,124,45.2725250278087,26,0.0805094740152528,218,0.0863799564955316,168,9.90668684275717
2017,"Alabama",48.6666666666667,199,31.6901408450704,312,65.2815013404826,320,11.5479115479115,60,44.1441441441441,19,33.3333333333333,83,67.0731707317073,22,8.33333333333333,103,37.17277486911,156,33.9285714285714,87,48.2076637824475,270,43.4491978609626,9,0.0860233553409751,181,0.0924751069915482,252,14.4908822879436
2017,"Alabama A&M",45.4792043399638,307,27.3522975929978,350,66.6123778501629,289,4.53752181500873,350,53.0541012216405,306,36.271186440678,253,68.0960548885077,46,10.0361663652803,246,29.2386436340371,324,33.9861751152074,89,52.5477707006369,164,51.4598540145985,149,0.0533322977547362,350,0.105629016912293,332,4.68174601269669
2017,"Alabama St.",44.3854995579133,332,29.4298921417566,343,63.4146341463415,345,7.65957446808511,232,49.7021276595745,187,34.4827586206897,137,67.891156462585,43,8.04597701149425,82,36.4606741573034,175,31.9235225955968,36,40.981240981241,346,49.7416020671835,101,0.0689126202135819,314,0.10148091332822,319,12.3033791132567
2017,"Albany",50.2949852507375,131,37.1031746031746,76,76.2057877813505,25,5.68627450980392,326,50.6862745098039,227,34.6547314578005,150,70.4424778761062,174,10.1032448377581,249,27.0967741935484,337,43.3962264150943,332,49.3670886075949,236,54.6954314720812,246,0.0767340359719172,249,0.0880852247251594,190,-3.69272679162848
2017,"Alcorn St.",47.9108635097493,234,31.986531986532,303,65.6934306569343,315,8.42945874001775,200,48.2697426796806,129,30.188679245283,8,65.8573596358118,9,6.96378830083565,19,35.5475763016158,198,31.985515992758,37,50.9915014164306,204,55.6818181818182,273,0.0915383316763895,137,0.100041892542502,313,7.93308538485315
2017,"American",51.7275419545903,77,31.758034026465,309,61.8143459915612,349,6.88679245283019,272,51.3207547169811,249,36.7521367521367,270,70.4113924050633,172,8.29220138203356,99,34.3060959792477,232,30.6282722513089,23,48.9884393063584,252,53.6312849162011,218,0.106487319602074,32,0.100882723833544,317,13.3743686742776
2017,"Appalachian St.",46.2655601659751,290,32.6500732064422,276,67.5409836065574,274,6.94568121104185,266,50.4897595725735,221,39.0557939914163,332,68.9606741573034,93,10.5809128630705,287,41.4693381906497,54,29.3266205160478,13,53.3632286995516,148,49.2656875834446,84,0.0702199977589362,301,0.0851604228140291,148,14.9038959881693
2017,"Arizona",51.5108924806746,85,39.04,19,76.5060240963855,22,8.81481481481481,179,48.4444444444444,137,30.9987029831388,14,68.3690280065898,65,7.65987350667604,51,30.517578125,303,36.3507779349364,178,51.2794268167861,194,53.3034714445689,208,0.0808434261926668,214,0.07038606758068,24,1.58907093563612
