Season,TeamName,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,F3GRate,RankF3GRate,OppF3GRate,RankOppF3GRate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,DefensiveFingerprint
2016,North Dakota,48.7201,175,36.7308,70,68.2353,241,7.1429,271,50.9524,261,34.3750,156,62.7068,1,7.2667,30,30.0404,292,39.0244,291,50.0640,223,53.1332,196,0.1028,49,0.0864,186,7.1
2016,UAB,52.6146,36,36.9863,60,71.4511,115,14.9518,5,48.0707,133,33.0914,89,69.3241,132,8.2864,98,34.5789,198,35.6441,184,64.6600,3,51.2107,150,0.0900,127,0.0873,192,2.8
2016,Delaware,43.7173,334,32.4952,269,68.4736,230,9.1579,161,51.3684,276,34.8235,179,70.7317,221,10.4712,278,31.0884,269,47.2222,351,47.6831,278,62.3724,340,0.0532,349,0.0931,258,-13.2
2016,Valparaiso,48.2732,197,36.4676,83,72.4758,84,13.0402,27,41.5466,3,33.8583,131,66.0502,14,10.2041,260,38.1853,103,32.4974,80,54.4346,119,49.0170,91,0.0935,95,0.0857,174,13.7
2016,Jacksonville,45.0132,307,38.8525,19,66.5448,302,6.7864,289,52.6946,314,36.5889,275,66.7257,29,8.4731,115,34.9971,186,40.6398,324,44.9799,323,52.5032,181,0.0836,205,0.0664,14,2.4
2016,Loyola Chicago,45.9435,278,35.2941,144,73.3583,51,7.9777,215,48.2375,142,34.8794,183,72.4958,304,11.1212,313,33.1505,228,33.3333,99,51.7241,184,56.0734,271,0.0869,160,0.0874,194,7.5
2016,Colorado,43.8860,331,38.6328,22,73.2997,56,11.6560,55,44.3497,26,35.2632,204,68.7943,111,11.3278,319,32.0591,251,28.8316,12,52.8986,156,41.8182,5,0.0726,288,0.1052,327,18.5
2016,Dartmouth,45.9062,279,34.3182,185,71.7949,102,5.1044,334,52.6682,312,35.1027,194,67.1031,42,12.0515,335,28.8147,317,40.3873,317,52.0000,175,53.7178,211,0.0969,78,0.0969,293,3.4
2016,Canisius,47.5382,222,34.0909,199,74.0591,40,7.6256,238,53.6395,332,37.9694,322,72.6027,307,9.6774,226,41.5094,50,38.3876,279,55.1479,101,58.9686,319,0.0853,186,0.0750,50,-2.0
2016,North Carolina Central,46.2946,263,33.8432,215,66.2400,306,4.2659,348,49.3056,198,34.0461,139,69.8206,161,10.5215,284,32.3639,245,37.6238,264,50.0732,222,54.4034,234,0.0809,225,0.0784,78,1.6
2016,Miami FL,53.1949,27,37.4806,45,74.8705,27,9.0909,165,46.8862,91,34.3699,155,71.7466,271,6.9489,19,33.9314,214,30.4283,26,48.2911,263,46.0116,32,0.0926,105,0.0797,97,10.2
2016,Albany,51.8033,57,32.2862,277,75.1609,22,4.4104,345,50.2250,239,30.8642,15,67.8643,67,10.7377,293,31.9576,253,39.6196,306,48.5924,256,50.3193,118,0.0935,94,0.0803,105,2.8
2016,UTSA,46.4505,258,32.0552,287,70.1493,162,6.7781,290,57.1959,350,41.2975,349,67.4271,51,13.3216,350,36.3636,148,36.9807,243,46.2788,301,58.6089,314,0.0844,193,0.0840,154,5.1
2016,New Mexico,50.9662,81,36.2963,97,73.8186,44,11.2263,70,48.3592,148,32.4573,60,68.4951,95,10.4670,277,30.3030,284,39.6561,308,55.7298,88,56.0099,270,0.0776,253,0.1074,332,-0.2
2016,Jacksonville St.,43.2024,340,34.5400,174,73.8281,43,7.8725,225,53.0459,323,33.2677,96,69.5976,145,8.3585,105,40.0362,65,32.2540,73,51.2158,195,48.8435,87,0.0742,279,0.0690,20,9.5
2016,Towson,46.3474,261,32.1293,285,67.2980,272,12.9326,29,46.1749,70,35.1916,199,75.1825,348,8.7662,141,29.9204,295,34.3301,127,46.0811,307,48.8011,85,0.0825,211,0.0762,58,11.0
2016,Toledo,51.6844,59,36.2717,99,74.8397,28,5.4434,332,46.6198,87,38.8972,341,72.0307,283,8.6879,135,38.0220,106,37.0718,250,59.7122,32,50.5051,126,0.0750,272,0.0924,253,5.7
2016,Nebraska Omaha,52.5920,39,33.5793,225,74.9373,25,6.9479,283,52.6882,313,35.8610,243,75.4584,350,8.8655,151,28.9375,315,34.3648,131,48.1859,267,49.1898,97,0.1192,10,0.0787,82,8.5
2016,Mississippi,46.4957,257,33.7802,217,70.9229,135,8.9445,172,47.4061,108,35.5207,223,67.4324,52,11.7094,326,38.9353,82,38.5377,283,51.7588,183,58.9217,318,0.1072,33,0.0934,263,-0.0
2016,Detroit,50.5795,96,36.5159,77,69.6306,183,10.8577,84,53.7409,334,35.6013,229,72.0149,282,10.0166,252,33.0748,231,36.5741,224,44.3908,329,52.3342,176,0.0892,137,0.0828,134,7.2
2016,Arizona St.,46.6036,252,33.5979,224,68.7328,222,7.3005,259,51.4431,278,35.3312,209,70.0000,169,12.8977,348,39.3955,71,34.9890,157,50.8794,206,58.1928,308,0.0755,267,0.0826,132,3.7
2016,Kent St.,48.9650,162,32.7839,253,68.0556,250,8.9410,174,49.4792,204,35.9350,251,73.5484,332,7.2452,29,30.2997,285,34.8048,147,44.7103,326,53.7295,213,0.0740,281,0.0791,93,4.7
2016,Northern Colorado,48.8479,166,36.4173,85,72.5036,82,7.7406,232,54.3933,341,38.8365,340,74.4156,344,8.6636,130,31.8895,255,39.9497,312,40.8392,348,55.5411,261,0.0804,229,0.0819,124,3.3
2016,Portland,46.9697,242,36.3276,92,72.7869,70,10.3623,104,49.3682,201,38.4615,333,69.8039,157,9.5960,219,38.9203,84,35.8378,194,48.1393,268,51.7241,160,0.0871,158,0.0786,81,3.7
2016,Dayton,51.5075,62,34.4237,179,66.7557,293,12.1951,42,43.6501,21,34.9206,185,66.6667,25,8.0402,75,34.9673,187,36.8225,234,57.5359,55,54.7963,246,0.0856,176,0.0703,23,5.1
2016,Rice,53.4180,24,31.8991,293,74.8936,26,6.9626,281,52.7415,317,41.8006,350,70.4615,208,9.0820,167,39.6938,69,35.1214,164,50.5249,214,54.1570,228,0.0863,166,0.0966,289,3.4
2016,DePaul,48.6261,177,34.2857,188,67.9612,253,9.1699,159,49.2278,197,36.4444,271,74.1176,338,8.1599,86,28.9769,313,39.4506,303,48.6702,253,61.6402,338,0.0704,298,0.0967,291,-1.4
2016,Air Force,46.9501,244,33.3922,234,67.3813,271,5.5249,328,51.2707,271,34.8866,184,71.0443,239,11.7375,327,34.3447,204,46.7334,350,56.0976,81,59.2443,323,0.0872,157,0.0929,257,-5.1
2016,UNC Asheville,50.2333,106,32.1300,284,70.0910,164,8.7105,190,52.0922,300,29.5732,4,70.4319,203,6.4541,9,30.1087,291,35.9059,197,46.4806,296,45.0249,21,0.1282,3,0.0965,287,10.0
2016,St. Francis PA,45.2812,299,35.8131,123,69.6486,180,7.9422,217,52.2563,304,32.0661,45,72.0703,286,11.3441,320,35.5255,168,35.3182,173,49.5601,238,50.5821,127,0.0648,325,0.0862,184,2.3
2016,Eastern Illinois,48.7879,171,34.4156,180,65.8228,315,5.7900,319,52.0118,295,33.5052,111,70.2619,193,7.2727,32,38.3562,97,36.3523,215,53.6691,138,54.2069,229,0.0848,190,0.0915,247,2.4
2016,UMKC,45.4632,292,36.7647,68,68.2709,240,8.9414,173,48.9209,177,35.1399,195,72.5404,306,10.6972,290,34.1923,209,37.0227,245,46.3018,300,58.6411,315,0.0858,175,0.0848,165,1.0
2016,Fairleigh Dickinson,49.4656,136,36.4062,87,69.6456,181,6.7637,291,52.0548,297,35.4260,221,70.0348,173,9.0076,163,32.8205,236,36.4181,217,51.4188,189,55.9763,269,0.1016,52,0.0874,195,2.9
2016,Hartford,45.6301,286,35.3488,142,74.7954,29,4.8800,340,54.0000,337,34.7626,175,65.3453,6,10.8740,302,46.6377,9,34.3142,126,51.3944,190,54.8780,247,0.0910,120,0.0730,33,4.6
2016,Providence,47.9879,206,32.0876,286,72.4712,85,8.9001,176,49.7829,218,32.2628,52,71.9723,281,8.8079,147,37.0760,128,33.1398,97,62.4291,13,50.6051,129,0.0928,102,0.0839,152,5.8
2016,Stanford,47.3978,225,31.7829,297,68.3773,234,8.8025,182,49.9488,223,36.8679,286,65.9843,11,8.6431,129,32.4121,243,38.5535,285,49.5549,239,57.9832,303,0.0988,67,0.0789,87,-0.7
2016,Hawaii,54.0954,20,32.2443,278,68.9320,214,10.1510,114,44.7987,40,30.0330,6,71.3296,252,7.7408,53,38.7879,86,33.7041,107,59.1787,38,47.9050,68,0.1035,45,0.0826,131,13.4
2016,Penn St.,45.9436,277,31.7293,300,69.5652,185,12.4004,39,45.5270,52,36.5854,274,70.8502,229,9.1711,175,36.9650,135,35.2638,171,43.9891,333,51.6915,159,0.0778,251,0.0857,175,7.7
2016,Louisiana Lafayette,49.8843,119,31.1278,309,69.7703,173,8.6758,191,46.9559,93,37.7856,320,69.8057,158,9.4834,211,33.8940,215,30.2177,23,46.7213,295,43.6298,12,0.0893,133,0.0784,79,15.7
2016,Nebraska,49.4039,140,34.7003,167,72.9814,64,9.3101,158,47.5478,114,36.6721,280,71.9225,278,9.4635,207,32.0850,250,33.9737,118,44.9604,324,53.5670,205,0.1086,26,0.0778,72,8.4
2016,North Carolina St.,46.9373,246,34.7899,160,69.8842,168,11.0070,76,47.4629,109,37.4150,312,69.3980,137,9.6866,227,29.7649,297,36.4583,220,44.2263,332,53.1144,195,0.0655,320,0.0906,239,-0.6
2016,Washington,47.3197,228,33.1117,246,72.5322,81,14.4625,8,47.2313,103,33.0721,86,68.6275,100,8.6036,123,33.2302,227,29.3603,16,50.6224,211,46.2607,37,0.0963,81,0.0763,59,13.3
