,TeamName,Season,AdjTempo,AdjOE,AdjDE,eFG_Pct_O,eFG_Pct_D,TO_Pct_O,TO_Pct_D,OR_Pct_O,OR_Pct_D,FT_Rate_O,FT_Rate_D,OFF_FT,OFF_2PT,OFF_3PT,DEF_FT,DEF_2PT,DEF_3PT,Size,Hgt1,Hgt2,Hgt3,Hgt4,Hgt5,HgtEff,Exp,Bench,Pts1,Pts2,Pts3,Pts4,Pts5,OR1,OR2,OR3,OR4,OR5,DR1,DR2,DR3,DR4,DR5,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,F3GRate,OppF3GRate,ARate,OppARate,StlRate,OppStlRate
1286,San Francisco,2013,64.91,106.932,103.938,52.6722,49.8468,18.0528,17.3784,23.8743,29.7546,34.5782,32.4142,17.995,46.2155,35.7895,18.9337,53.1141,27.9522,77.5,2.34,0.4,1.14,1.25,0.99,2.24,1.05,32.71,20.5,18.77,21.69,23.79,15.25,8.44,12.5,9.91,42.12,27.04,13.41,19.61,16.81,33.71,16.46,48.0208,40.1349,66.8529,5.5402,49.2151,34.0619,71.8336,7.1875,38.1842,33.6397,50.7868,45.0,0.0804,0.0825
1287,San Jose St.,2013,65.1016,90.7446,103.95,41.0648,48.7429,20.1984,18.9918,33.3638,31.9706,36.675,34.1923,22.7752,53.1616,24.0632,20.2571,53.9846,25.7584,77.6,2.34,0.74,-0.05,0.8,1.17,1.97,1.92,38.15,25.25,20.26,20.58,15.99,17.91,7.97,12.15,16.86,27.72,35.31,18.53,15.06,14.16,23.99,28.26,40.106,28.903,66.0441,7.967,48.0769,33.4669,72.4265,12.9859,29.5143,31.3639,49.577,56.5029,0.0876,0.0908
1288,Santa Clara,2013,65.2621,109.935,101.127,50.7306,47.4873,18.3729,21.1776,32.9084,33.7379,37.019,42.0305,21.2179,46.8986,31.8835,24.2203,51.8429,23.9368,77.05,0.35,0.3,-1.05,-0.17,0.91,0.75,2.19,30.41,27.0,22.04,18.94,13.04,18.98,9.02,6.41,16.8,37.74,30.04,12.21,13.23,16.77,32.4,25.4,48.8959,35.7962,73.8158,11.6046,45.8453,34.3206,72.2222,7.2555,38.2367,29.1371,57.0477,54.2413,0.1118,0.0874
1289,Savannah St.,2013,61.1534,87.6284,91.7698,44.8645,43.4967,27.1839,26.0105,34.4925,32.6978,35.3497,45.2941,19.2286,60.0113,20.7601,25.4342,54.5658,20.0,75.76,0.34,-1.67,-0.97,0.3,-1.14,-0.84,2.53,37.33,25.4,17.04,12.01,26.7,18.86,6.54,11.15,15.14,31.94,35.23,9.22,10.75,14.9,32.06,33.07,45.3299,29.0476,60.4278,11.4593,43.5989,28.8136,65.5123,12.6821,26.465,26.9935,48.8479,54.9505,0.1403,0.1291
1290,Seattle,2013,67.4993,94.1476,99.3963,47.0865,46.6789,25.4695,19.8312,36.6913,29.9357,28.8405,42.7178,16.1426,56.499,27.3585,23.7432,48.1832,28.0737,76.86,0.34,-0.91,-0.16,0.53,0.79,1.32,1.95,37.67,16.79,17.95,22.29,22.05,20.93,10.75,14.58,28.97,16.87,28.82,17.32,17.65,22.63,17.39,25.01,46.5056,32.2222,62.8571,8.3412,45.8768,32.0819,68.0456,8.1967,31.7834,35.7099,56.8022,51.1905,0.105,0.1346
1291,Seton Hall,2013,62.8438,104.056,99.2339,51.3204,46.6592,23.7997,19.401,30.9635,32.784,34.507,39.1353,18.118,45.2247,36.6573,22.6977,50.5116,26.7907,77.51,1.34,1.47,0.95,-0.14,0.59,0.45,1.58,30.19,14.15,16.01,21.12,26.39,22.34,6.01,8.26,16.98,26.08,42.67,12.07,12.47,21.4,25.65,28.41,48.6405,36.7089,65.8163,7.0666,44.6179,34.0426,70.0143,11.4804,41.7254,31.6676,61.9624,56.8707,0.1042,0.1371
1292,Siena,2013,61.9303,95.2301,107.948,46.076,48.7379,23.6825,16.9644,32.9556,34.5536,38.1361,27.6584,21.7595,49.3493,28.8912,17.0854,52.9009,30.0137,75.85,-3.66,-1.53,0.95,-0.13,-0.46,-0.59,1.27,28.49,21.26,17.63,21.16,19.92,20.03,6.39,5.94,12.04,36.4,39.23,7.16,11.42,20.86,29.96,30.61,43.8078,33.6976,67.2026,7.3272,48.2098,33.1316,72.6214,13.3087,33.6603,35.4995,50.2276,57.0175,0.087,0.1242
1293,SIU Edwardsville,2013,64.2279,93.0146,106.562,47.6515,51.6178,21.6796,21.0723,28.5714,32.0802,32.803000000000004,36.8698,18.3647,52.8228,28.8125,19.4836,56.5728,23.9437,76.13,-2.64,0.19,0.46,-0.14,-2.09,-2.23,2.03,32.2,14.41,19.92,26.98,19.97,18.72,4.85,10.67,22.2,24.72,37.56,13.15,15.33,22.64,25.33,23.55,44.5783,36.3636,65.358,5.6707,52.5627,33.0097,67.7551,9.0909,30.8333,31.0008,56.036,55.3398,0.0802,0.1014
1294,SMU,2013,61.7167,100.576,101.939,47.9326,47.3766,22.8689,21.3108,34.8374,32.6395,40.7125,39.4753,24.004,59.5058,16.4902,22.602,41.7347,35.6633,77.49,3.19,2.01,-0.05,-0.14,-0.61,-0.75,1.38,14.51,18.26,21.31,23.96,19.12,17.35,5.88,9.58,27.1,31.7,25.74,16.57,18.02,21.57,20.13,23.71,46.9372,34.6032,74.375,13.6511,44.312,34.3658,70.0949,9.3079,20.0382,42.3485,51.9313,61.215,0.1055,0.1176
1295,South Alabama,2013,66.1895,98.7508,100.814,45.8517,46.7556,22.8421,21.0584,35.9924,32.9868,45.4431,37.6592,26.2386,48.7361,25.0253,21.9636,54.3522,23.6842,75.16,-1.66,-1.99,-1.71,-0.14,-1.59,-1.73,1.98,33.36,13.49,18.72,18.35,22.38,27.05,3.53,6.02,15.31,33.11,42.03,11.16,13.81,17.48,25.47,32.07,44.5883,32.3529,71.7842,11.9898,45.6633,32.981,69.8873,9.4357,32.0553,28.6841,47.1406,44.5887,0.0976,0.109
1296,South Carolina,2013,64.4222,101.643,105.137,46.5594,50.4759,22.7253,20.9629,38.3465,32.8872,35.2386,45.8061,20.6619,52.104,27.234,23.0385,52.6077,24.3537,75.08,-2.66,-2.62,-0.05,-1.14,-0.38,-1.52,1.65,40.41,19.48,22.13,21.38,20.24,16.77,6.38,5.29,20.27,35.49,32.57,11.82,14.31,20.43,29.8,23.64,45.7641,32.107,68.8189,9.6438,50.39100000000001,33.7736,65.97399999999999,13.1229,33.1853,31.5289,52.7591,55.0725,0.0761,0.122
1297,South Carolina St.,2013,63.2414,91.6433,113.886,42.1739,49.9069,22.8166,18.5754,35.6343,37.5,27.3292,36.3749,17.2456,59.7197,23.0347,19.8804,52.9148,27.2048,76.16,-2.66,-0.99,-0.8,0.99,1.76,2.75,1.33,26.82,22.22,17.64,15.1,20.66,24.38,3.57,11.4,26.73,24.89,33.42,15.26,12.67,22.34,24.86,24.87,42.5347,27.5109,64.3182,10.149,49.4413,33.892,68.0887,9.809,28.4472,33.3333,53.5714,57.6438,0.0902,0.1101
1298,South Dakota,2013,65.1148,105.456,112.985,50.7708,53.2934,17.7553,15.6696,24.297,31.9239,37.2654,26.0479,22.2279,48.0493,29.7228,14.2582,54.2389,31.5029,75.98,1.34,-0.99,-3.05,-1.14,0.19,-0.95,1.6,30.66,20.85,20.85,19.9,16.98,21.42,8.6,8.6,17.63,33.29,31.87,15.49,15.49,19.08,25.19,24.75,48.1481,37.1154,77.8777,6.4781,51.3686,37.9791,68.046,7.6132,34.8525,34.3713,50.6808,54.2894,0.0893,0.084
1299,South Dakota St.,2013,61.9938,112.586,105.42,53.3505,51.1465,16.3899,17.0667,28.9683,26.03,32.9897,24.3848,19.2808,48.6135,32.1057,14.0508,54.2293,31.7199,77.72,3.35,2.01,0.16,0.36,-0.33,0.03,2.18,17.06,20.94,22.23,18.2,17.91,20.71,15.31,9.85,13.36,27.9,33.59,16.91,17.76,17.3,19.16,28.87,50.495,38.8976,77.2569,5.8621,49.7414,35.828,68.578,7.7408,36.3688,35.123000000000005,54.9505,50.8728,0.0778,0.0957
1300,South Florida,2013,58.0554,102.174,99.651,44.5646,47.2842,17.7232,19.5061,30.3114,34.4562,29.2493,30.4768,18.551,50.1647,31.2843,18.7241,55.2905,25.9855,77.9,1.34,2.31,1.75,1.86,0.71,2.57,1.86,25.09,18.03,22.47,18.39,18.3,22.8,6.13,21.62,26.62,25.09,20.53,12.63,18.88,16.43,21.0,31.06,43.2356,31.25,69.4045,9.4631,48.4986,29.9283,71.4851,12.8666,36.5165,33.6753,54.2504,56.4286,0.1012,0.0823
1301,Southeast Missouri St.,2013,66.3336,103.844,108.568,53.0892,45.9115,18.498,15.1814,28.1853,33.1461,33.3524,35.1562,17.9124,50.2433,31.8443,21.4349,51.9608,26.6043,75.9,1.34,-0.44,-2.05,-1.5,-0.59,-2.1,2.14,27.03,13.59,19.64,22.02,20.78,23.97,6.64,12.62,16.6,32.07,32.07,10.82,14.09,15.6,26.6,32.9,49.956,39.2799,69.4683,11.315,44.5719,32.5163,71.2593,9.5866,34.9542,31.875,59.5297,49.6164,0.0747,0.093
1302,Southeastern Louisiana,2013,64.2611,93.8335,105.421,45.5939,49.6169,19.4811,18.3931,26.4251,31.998,36.0153,42.7842,20.7987,50.5824,28.619,22.4164,53.32,24.2636,75.29,-2.66,0.37,-0.84,-0.82,-1.81,-2.64,2.16,31.63,19.14,22.47,21.28,21.8,15.3,6.97,9.68,9.65,36.48,37.22,11.14,14.56,16.38,33.14,24.78,42.1442,35.5372,66.4894,7.3402,46.114,39.7059,67.0149,11.6451,30.9068,26.0536,42.1975,51.7241,0.0689,0.0824
1303,Southern,2013,62.7873,99.0012,99.294,49.1139,41.8598,16.805999999999994,20.1774,25.7868,31.0775,40.2532,34.939,21.9708,47.5616,30.4676,21.8999,52.6735,25.4266,76.52,-0.66,-0.55,-0.05,-0.14,0.42,0.28,2.2,31.23,12.97,15.67,28.44,28.92,13.99,5.62,10.14,11.06,34.35,38.83,15.95,14.6,20.37,25.0,24.08,45.967,36.6606,68.7107,10.8486,40.5074,29.9799,67.1902,8.552,34.8734,30.3049,47.7037,42.3203,0.1063,0.0771
1304,Southern Illinois,2013,60.9661,102.602,103.385,47.9772,53.0834,19.4126,24.1603,31.6633,31.9249,34.0708,42.5368,18.5622,59.8712,21.5665,22.5856,49.0547,28.3597,74.4,-2.66,-0.99,-2.05,-3.14,-2.82,-5.96,1.96,28.95,15.52,23.02,18.52,21.06,21.88,12.78,25.46,13.44,19.25,29.08,16.28,26.2,17.66,19.32,20.53,48.1034,31.7536,64.1929,6.9114,51.8359,36.9261,72.8171,6.8103,26.6751,35.1086,43.2081,58.6466,0.1245,0.095
1305,Southern Miss,2013,62.5266,111.078,97.9444,53.1152,48.5058,21.9881,24.2982,37.9679,31.734,36.5445,40.5091,19.1311,54.2049,26.664,22.0196,41.2811,36.6993,75.05,-0.66,-1.69,-0.14,-1.14,-2.75,-3.89,2.2,31.38,17.3,17.84,18.22,23.35,23.28,5.69,8.76,23.29,29.27,32.98,13.05,14.51,23.51,26.55,22.39,51.7504,37.4161,68.7679,9.8969,47.8351,32.8554,67.623,9.7412,31.2042,46.3199,55.1495,69.8241,0.1309,0.1035
1306,Southern Utah,2013,67.1533,91.9142,105.66,44.4478,48.5975,22.041,17.1485,32.0772,27.9047,36.7718,57.0124,23.0163,53.1792,23.8045,29.2833,50.2136,20.5031,77.66,2.34,0.42,0.62,0.64,1.47,2.11,2.21,36.57,24.0,19.68,23.5,15.28,17.53,12.17,20.04,15.48,21.36,30.95,11.74,18.97,20.28,19.81,29.2,42.9177,32.1962,72.2772,12.9118,47.106,35.122,70.595,9.1603,28.4587,26.7449,52.8158,52.6003,0.0697,0.1112
1307,St. Bonaventure,2013,64.3738,109.668,105.134,51.5516,51.6263,19.9818,21.558000000000003,32.4211,34.1996,39.8987,41.2628,22.807,47.0365,30.1565,22.4617,47.2222,30.3161,76.96,-1.65,1.01,0.28,-0.58,1.49,0.91,2.31,33.8,24.34,15.39,20.97,21.62,17.68,7.33,11.24,16.73,29.79,34.91,13.31,10.49,15.9,26.92,33.38,48.9635,37.4558,76.3492,8.4253,49.4483,36.9527,72.4884,9.6742,35.8455,36.4158,58.6158,58.0966,0.0956,0.092
1308,St. Francis NY,2013,64.442,103.0,107.749,48.4069,50.8383,18.1769,19.7981,34.3694,33.8614,31.5819,37.7844,17.8368,52.8463,29.3169,20.7653,55.1563,24.0784,75.25,-0.72,0.01,-0.77,-1.64,-2.43,-4.07,1.81,38.2,16.07,18.0,20.01,22.72,23.21,8.92,6.58,16.11,32.34,36.06,13.45,12.39,17.98,27.19,28.99,47.9759,32.8025,66.5487,5.9896,51.3021,33.2046,70.523,8.441,35.1034,31.018,50.7208,54.5216,0.0963,0.0899
1309,St. Francis PA,2013,61.4367,93.4479,112.612,48.2318,52.9942,22.0238,19.1328,27.6112,34.5055,31.5652,39.8583,18.3481,47.2284,34.4235,22.2485,50.2598,27.4917,74.59,-2.65,-1.94,-1.58,-1.52,-2.18,-3.7,1.0,42.75,21.14,22.96,16.29,20.59,19.01,4.54,8.16,13.0,32.14,42.16,11.74,15.66,17.89,27.73,26.97,45.6592,34.8485,68.6722,5.9846,51.3514,37.5242,76.0905,10.075,38.8998,33.2904,57.5039,55.3719,0.0846,0.1072
1310,St. John's,2013,65.5001,100.362,94.1037,44.4947,45.5935,16.7225,20.1916,30.5031,35.1157,28.909,28.9353,17.2123,65.9495,16.8382,18.0027,52.3133,29.6839,77.27,2.34,1.01,0.72,0.05,-0.14,-0.09,0.64,27.75,20.43,24.79,16.21,22.23,16.34,8.24,12.47,21.33,25.4,32.57,11.99,15.2,25.06,21.42,26.32,45.6016,27.088,64.0,18.3829,43.5545,33.1288,69.1901,7.5679,22.2725,33.2145,48.9697,55.7814,0.0978,0.0903
1311,Stanford,2013,65.9439,110.323,95.4774,47.4775,46.7624,17.2527,19.2268,32.1197,28.4983,33.3666,33.7337,20.6925,49.6454,29.6621,20.7522,57.6106,21.6372,77.35,-0.66,-0.5,2.42,1.53,1.51,3.04,1.68,26.96,19.61,19.6,16.77,18.68,25.32,3.97,11.12,30.53,26.42,27.95,8.65,13.48,22.45,25.17,30.25,44.3368,35.9091,74.2515,9.6073,45.6522,33.3333,72.6006,8.2712,32.967,25.5352,49.6394,45.7002,0.0858,0.0811
1312,Stephen F. Austin,2013,58.8391,100.095,89.8205,50.4986,42.2452,20.3999,22.6537,34.1297,25.8621,40.3846,35.5244,19.5233,61.74800000000001,18.7287,21.4825,56.28,22.2375,75.03,-1.15,-0.32,-1.05,-1.94,-2.51,-4.45,2.08,22.83,14.37,20.88,19.53,21.25,23.97,4.61,8.14,26.4,32.26,28.59,14.36,14.67,18.26,25.69,27.03,50.8887,32.8358,60.6702,10.404000000000002,41.4141,29.6703,65.0728,9.7287,23.8604,26.8833,63.4557,46.139,0.1144,0.1092
1313,Stetson,2013,66.6286,100.838,107.627,52.5649,50.7533,23.119,17.4483,31.2565,30.9767,34.796,28.9062,18.9614,49.1663,31.8723,15.748,56.0445,28.2075,77.08,1.97,1.23,-0.05,-0.62,0.41,-0.21,2.28,27.11,15.39,23.67,19.84,18.44,22.65,13.05,18.37,8.45,32.67,27.46,15.14,16.26,19.93,25.98,22.69,52.7607,34.8438,70.6927,6.0169,51.2712,33.1699,65.6371,8.998,39.555,34.1518,65.3586,55.0743,0.078,0.1347
1314,Stony Brook,2013,62.0348,106.458,94.7034,49.5909,44.1753,18.3263,20.611,31.831,27.4291,37.6973,26.7013,21.1431,53.0669,25.79,16.7844,48.3433,34.8724,76.24,0.34,-1.55,-1.63,-0.25,-0.17,-0.42,1.78,34.57,22.86,20.81,17.33,20.17,18.83,6.61,10.43,22.9,31.83,28.23,12.86,15.7,24.63,25.46,21.35,48.06399999999999,35.3728,70.5426,11.4504,42.4618,31.1953,66.7387,7.9125,30.5669,39.5617,51.5873,54.3247,0.0982,0.0938
1315,Syracuse,2013,62.6287,114.546,91.9806,48.9969,42.6115,18.863,23.4739,38.7387,34.3876,36.7641,35.4089,20.206,54.9716,24.8224,21.8577,46.6979,31.4444,79.06,4.34,2.02,2.94,1.86,0.78,2.64,1.68,24.88,21.53,19.41,22.7,21.81,14.54,12.16,12.05,19.53,21.23,35.02,10.46,17.46,24.16,24.52,23.4,48.4659,33.477,67.497,19.3146,42.6791,28.341,67.3228,8.015,30.3532,40.3346,55.8093,67.6322,0.1372,0.1059
1316,TCU,2013,58.7857,93.147,102.648,43.2806,49.6547,21.9135,20.1311,31.9617,32.7784,40.5797,34.1494,22.0641,57.6512,20.2847,19.0793,57.5959,23.3248,76.89,-0.66,0.6,1.95,0.86,-0.59,0.27,2.01,29.47,22.88,13.51,18.03,21.84,23.74,3.45,7.13,16.41,27.7,45.3,8.99,15.0,18.65,23.85,33.51,42.3345,30.8108,60.3896,7.23,49.0418,34.1573,68.5662,9.1463,24.3742,27.9347,50.6667,54.5455,0.0855,0.0923
1317,Temple,2013,65.1334,111.464,99.5026,48.9678,48.9904,15.9138,20.1314,30.8252,31.3708,35.5992,34.1127,20.8062,49.5114,29.6824,20.1386,54.3958,25.4656,77.49,2.34,1.66,0.95,-0.14,0.41,0.27,2.4,27.05,11.59,30.69,16.27,17.47,23.98,9.46,6.89,26.93,30.34,26.39,13.72,14.11,19.98,21.88,30.3,48.7961,32.8378,72.2772,9.4951,47.3248,35.3153,72.4299,8.0257,37.2608,29.4899,58.4019,51.5777,0.1161,0.0739
1318,Tennessee,2013,61.6099,108.881,97.4029,47.944,46.236,20.1006,17.4048,36.5179,28.8225,42.2044,34.382,23.2983,52.9922,23.7095,21.2817,56.0497,22.6686,77.36,1.34,1.87,0.95,0.18,-0.13,0.05,1.63,25.29,21.17,19.19,20.42,20.08,19.14,6.12,10.13,14.19,32.19,37.36,11.58,15.53,19.63,24.67,28.59,48.2128,31.5693,69.0122,10.1167,45.6031,31.9192,72.7124,10.9726,31.2964,27.809,47.012,49.328,0.0662,0.0988
1319,Tennessee Martin,2013,65.913,93.7123,113.851,43.2542,53.4736,21.0617,19.2812,32.3336,32.6617,37.7264,44.8693,24.3996,50.5459,25.0546,22.9922,49.7476,27.2602,76.83,1.71,1.59,-0.05,0.06,-1.59,-1.53,1.34,42.39,10.59,18.46,21.26,24.72,24.98,12.99,13.92,14.44,23.54,35.12,11.75,18.86,19.07,22.75,27.56,40.865,32.6923,74.0066,6.587999999999999,53.294,35.8696,71.1648,11.6505,29.2317,35.1816,51.9481,62.1622,0.0895,0.1017
1320,Tennessee St.,2013,65.7533,104.901,104.515,48.9492,49.7994,21.9906,19.8896,34.8442,32.7491,39.9883,39.4842,23.3897,50.1599,26.4504,21.5704,51.3538,27.0758,76.38,-1.66,-0.73,-0.05,0.86,0.03,0.89,2.26,28.8,14.23,19.81,20.64,22.09,23.23,9.11,10.76,15.51,34.22,30.4,13.08,13.87,14.63,31.76,26.67,48.37,33.391,74.7445,11.811,49.7813,33.2226,69.3759,8.6344,33.742,34.4986,53.504,55.7867,0.1036,0.1046
1321,Tennessee Tech,2013,63.6016,97.1255,107.119,46.9149,51.2204,24.1976,21.5527,35.2298,34.6466,38.156,45.8722,22.2679,50.4113,27.3208,23.8527,49.413,26.7343,76.03,-1.66,-0.78,0.95,-0.38,-1.02,-1.4,1.64,34.9,20.28,18.5,25.95,19.56,15.71,5.85,10.66,22.11,27.82,33.55,8.44,15.42,28.5,26.77,20.87,47.2988,30.8151,70.4461,9.9668,51.2735,34.0816,69.9531,9.151,35.6738,35.1759,51.0274,54.4444,0.0883,0.112
1322,Texas,2013,63.8794,102.568,95.4613,45.7237,42.9374,21.4435,19.0856,34.5501,33.84,40.3509,41.8941,22.6345,53.9889,23.3766,25.2097,51.165,23.6253,76.77,-0.74,0.62,0.53,1.44,0.63,2.07,0.44,38.56,18.16,21.47,26.76,19.49,14.13,5.72,9.94,23.37,28.16,32.81,15.53,14.48,21.38,23.43,25.18,46.0079,30.0537,66.3043,12.2274,42.757,28.8889,69.0932,8.6957,30.6469,31.3002,50.8,55.0139,0.0939,0.1183
1323,Texas A&M,2013,59.0566,105.074,98.1344,48.7658,47.5367,21.0477,21.8646,34.8881,33.4556,32.8932,35.6598,19.2107,57.2515,23.5378,20.9268,48.7805,30.2927,76.82,-0.66,0.24,0.95,-0.29,0.41,0.12,1.67,30.7,22.42,19.7,22.54,14.11,21.22,11.04,7.84,9.51,29.55,42.06,10.61,16.1,16.8,22.86,33.63,47.06800000000001,35.6371,70.5061,8.9991,45.9137,33.6039,70.5592,10.5551,26.5786,36.129,49.5437,57.7086,0.1024,0.0971
1324,Texas A&M Corpus Chris,2013,60.1111,96.0484,110.997,45.3605,50.9894,18.7987,19.1385,29.8768,34.5679,32.243,47.4205,19.395,56.5836,24.0214,24.5687,47.9875,27.4438,75.69,-1.66,-0.99,-1.68,-1.1,1.1,0.0,1.12,31.14,22.48,16.88,17.3,26.55,16.78,19.64,6.52,12.93,32.31,28.59,17.18,10.68,15.0,31.23,25.92,45.1705,30.543000000000006,67.7019,10.7411,49.3018,36.157,70.0447,8.2386,29.506,34.2049,49.5098,58.8328,0.1008,0.0736
1325,Texas Pan American,2013,61.8621,94.1994,108.533,47.3523,49.5164,20.8174,21.9858,26.9503,35.7672,39.3754,35.9123,20.9184,50.0,29.0816,19.539,58.4599,22.001,75.35,-1.66,-2.52,-1.05,-1.43,-1.59,-3.02,2.28,34.26,17.92,21.99,22.73,20.01,17.35,4.25,12.39,16.49,39.09,27.78,15.32,18.72,17.92,22.82,25.21,44.8627,34.898,63.6207,4.8738,48.56399999999999,34.8259,66.9659,7.3245,33.2654,25.9188,53.9216,50.8596,0.0945,0.1067
1326,Texas Southern,2013,61.5925,105.515,104.839,51.8718,45.3495,17.8709,17.5301,31.4576,33.1283,31.1968,29.7743,16.0624,45.8008,38.1368,18.3754,57.8504,23.7741,73.86,-2.66,-4.99,-3.75,-1.23,-0.91,-2.14,2.32,24.15,24.14,21.33,13.34,20.31,20.88,8.1,8.96,10.86,25.72,46.36,11.51,13.59,17.21,26.74,30.94,50.6599,35.6041,63.6364,10.8149,44.4783,31.746,68.5767,10.5584,44.1293,27.738000000000003,56.3144,52.0161,0.0774,0.0828
1327,Texas St.,2013,69.8509,101.121,108.733,47.8227,51.222,19.3454,20.6548,26.8791,33.7108,36.5163,37.7015,21.1505,50.173,28.6765,20.947,53.2905,25.7624,76.74,-0.66,-1.27,-0.65,0.86,0.06,0.92,1.98,36.63,14.83,15.62,20.91,25.96,22.67,5.63,12.5,25.43,32.22,24.22,15.04,13.1,19.57,24.34,27.95,46.6989,33.2831,70.2586,7.8041,50.8034,34.7403,72.0,10.2254,34.8374,32.0333,49.0637,53.7585,0.1035,0.1014
1328,Texas Tech,2013,65.8861,100.217,107.121,46.4661,52.8358,21.4765,21.2881,32.1067,34.2857,38.0841,41.0746,21.4709,56.4659,22.0632,21.5426,50.5319,27.9255,76.67,0.34,-0.81,-0.05,-0.49,0.4,-0.09,1.27,39.09,15.14,17.01,15.34,27.11,25.39,7.67,10.05,8.98,35.73,37.57,12.13,12.4,12.8,31.91,30.76,47.8661,28.8201,66.7178,8.4305,51.1211,37.5,70.6395,9.4561,30.1986,33.4328,47.7115,52.6923,0.1201,0.1121
1329,The Citadel,2013,63.2937,98.282,119.199,50.5025,54.972,23.9347,17.951,30.9327,36.2239,37.832,28.7756,20.8216,51.9977,27.1806,15.7619,51.8095,32.4286,76.42,-0.28,-0.99,0.61,0.17,-0.59,-0.42,1.15,33.26,16.9,14.91,18.35,22.92,26.91,6.33,7.32,17.62,25.82,42.91,11.33,13.12,21.88,24.02,29.65,48.9407,35.8575,70.2087,5.4241,53.6489,38.1513,71.4903,7.9449,32.2326,36.9795,65.008,51.6213,0.1038,0.1378
1330,Toledo,2013,65.4939,104.107,105.263,48.249,48.68,17.7335,21.3015,28.8889,34.5214,37.4838,35.9305,22.8216,51.3485,25.8299,20.8791,47.0958,32.0251,75.71,-1.66,-0.59,-0.05,-2.14,-0.42,-2.56,1.61,24.6,19.78,14.99,26.52,23.69,15.02,5.84,5.24,30.5,25.3,33.11,13.81,12.59,27.2,21.9,24.5,47.3231,33.4677,76.1246,9.6875,46.875,34.4013,71.5054,10.1338,32.166,38.1842,54.7655,52.4465,0.1049,0.0991
1331,Towson,2013,64.0686,102.909,103.556,48.2873,45.1845,22.2309,16.1634,39.1386,31.8545,40.3245,37.6009,21.4565,55.2297,23.3138,22.6555,51.4314,25.9131,77.65,2.45,1.01,1.67,0.86,-0.18,0.68,1.59,26.45,16.94,20.65,18.49,23.11,20.81,6.12,10.95,20.09,26.96,35.89,11.74,11.29,16.54,28.05,32.38,48.791,31.4229,65.4247,13.0542,42.775,33.9147,70.3988,10.4491,30.4087,29.7578,41.989,54.5977,0.0741,0.1124
1332,Troy,2013,58.7623,99.088,109.357,45.3068,50.9748,16.4585,19.1301,30.6569,32.9588,24.5412,36.5826,15.5425,53.3724,31.085,19.2919,50.749,29.9591,76.01,0.34,1.01,-1.05,-1.25,-0.71,-1.96,2.19,33.67,19.75,20.25,20.26,22.01,17.74,5.96,16.17,16.07,32.84,28.96,11.08,19.52,19.56,25.43,24.41,44.4988,31.1765,67.9487,7.1681,49.469,35.8306,66.6144,9.3725,35.6581,35.2064,49.3404,52.1181,0.0854,0.0797
1333,Tulane,2013,63.0965,106.703,105.116,47.731,51.6468,19.018,20.6404,35.589,27.704,46.6922,33.5037,26.2357,45.8809,27.8834,18.8671,53.7021,27.4309,76.1,0.34,0.01,-1.7,-0.71,-0.1,-0.81,1.93,20.04,20.5,22.83,16.96,14.03,25.68,5.11,5.42,17.19,28.16,44.13,13.36,11.52,17.57,24.09,33.46,45.2123,35.0318,72.7166,5.3819,52.2569,33.6617,71.6949,10.9908,34.3357,34.5826,51.9004,64.0644,0.1018,0.0919
1334,Tulsa,2013,65.6142,99.3666,99.9606,48.5512,47.7759,21.6971,18.9048,30.2514,29.7763,43.5837,41.2725,22.947,50.5866,26.4664,22.6879,47.1071,30.205,75.97,-0.65,0.58,-0.05,-1.61,-1.31,-2.93,1.21,34.41,22.4,16.86,19.55,19.18,22.0,3.58,14.04,17.71,23.12,41.55,15.65,19.29,20.31,20.35,24.41,48.168,32.8671,66.3501,8.5841,45.7522,34.2105,67.94,10.0089,33.8261,36.3739,50.2063,60.2981,0.0915,0.1126
1335,UAB,2013,68.6068,100.592,100.387,48.3516,50.673,21.7828,22.4403,33.5034,30.7692,29.4087,38.6427,17.9396,54.3517,27.7087,21.1606,51.2216,27.6178,76.67,0.34,0.47,0.4,-1.14,-0.77,-1.91,2.09,26.64,13.65,17.23,22.06,24.16,22.9,2.98,24.41,27.83,21.86,22.92,12.18,18.35,22.89,24.85,21.73,47.9248,32.8076,71.8861,6.9224,48.9575,36.1301,70.3919,9.6319,33.1763,32.7538,61.3415,54.6366,0.1148,0.1179
1336,UC Davis,2013,65.3758,104.913,108.04,55.0878,49.62,20.7228,15.6615,26.3874,30.7417,32.9497,30.9989,17.6923,47.4208,34.8869,18.3564,49.2184,32.4252,76.08,0.92,0.01,-1.05,-1.69,-0.67,-2.36,1.99,30.68,10.02,19.48,28.64,19.28,22.58,5.59,10.28,13.23,41.9,29.0,9.92,14.9,18.16,32.46,24.56,51.5748,40.4724,71.875,7.348,46.5372,36.7781,71.979,9.5472,38.4615,35.722,58.6428,58.2598,0.0688,0.1132
